Source Name	Characteristics[organism]	Characteristics[cell line]	Material Type	Protocol REF	Protocol REF	Extract Name	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Term Source REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[cell_line]
J132_EPA01P10_UACC-812_breast_910910	Homo sapiens	UACC-812	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA01P10_UACC-812_breast_910910	P-MTAB-44937	J132_EPA01P10_UACC-812_breast_910910:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994173212120213068_A01	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994173212120213068_A01.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	UACC-812
J132_EPA01P2_201T_Lung:NSCLC_1287381	Homo sapiens	201T	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA01P2_201T_Lung:NSCLC_1287381	P-MTAB-44937	J132_EPA01P2_201T_Lung:NSCLC_1287381:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513209_A01	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513209_A01.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	201T
J132_EPA01P3_EVSA-T_Breast_906862	Homo sapiens	EVSA-T	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA01P3_EVSA-T_Breast_906862	P-MTAB-44937	J132_EPA01P3_EVSA-T_Breast_906862:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813929_A01	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813929_A01.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	EVSA-T
J132_EPA01P4_KYSE-520_Esophagus_753575	Homo sapiens	KYSE-520	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA01P4_KYSE-520_Esophagus_753575	P-MTAB-44937	J132_EPA01P4_KYSE-520_Esophagus_753575:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513202_A01	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513202_A01.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	KYSE-520
J132_EPA01P5_MS751_Cervix_1240179	Homo sapiens	MS751	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA01P5_MS751_Cervix_1240179	P-MTAB-44937	J132_EPA01P5_MS751_Cervix_1240179:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994158987071513207_A01	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994158987071513207_A01.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	MS751
J132_EPA01P6_MEL-JUSO_Skin_908125	Homo sapiens	MEL-JUSO	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA01P6_MEL-JUSO_Skin_908125	P-MTAB-44937	J132_EPA01P6_MEL-JUSO_Skin_908125:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813928_A01	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813928_A01.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	MEL-JUSO
J132_EPA01P8_NCI-H1869_Lung_1240183	Homo sapiens	NCI-H1869	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA01P8_NCI-H1869_Lung_1240183	P-MTAB-44937	J132_EPA01P8_NCI-H1869_Lung_1240183:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172383112813930_A01	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172383112813930_A01.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	NCI-H1869
J132_EPA01P9_CMK_haematopoietic_and_lymphoid_tissue_910566	Homo sapiens	CMK	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA01P9_CMK_haematopoietic_and_lymphoid_tissue_910566	P-MTAB-44937	J132_EPA01P9_CMK_haematopoietic_and_lymphoid_tissue_910566:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994172948120113978_A01	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994172948120113978_A01.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	CMK
J132_EPA02P10_SNU-61_large_intestine_1660035	Homo sapiens	SNU-61	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA02P10_SNU-61_large_intestine_1660035	P-MTAB-44937	J132_EPA02P10_SNU-61_large_intestine_1660035:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994173212120213068_A02	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994173212120213068_A02.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	SNU-61
J132_EPA02P1_DMS-114_Lung_687983	Homo sapiens	DMS-114	cell	P-MTAB-44941	P-MTAB-44940	J132_EPA02P1_DMS-114_Lung_687983	P-MTAB-44937	J132_EPA02P1_DMS-114_Lung_687983:Biotin labeled streptavidin	Biotin labeled streptavidin	P-MTAB-44938	5500994157493061613625_A02	array assay	A-GEOD-13667	ArrayExpress	P-MTAB-44939	5500994157493061613625_A02.cel	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-3610/E-MTAB-3610.raw.1.zip	DMS-114
