probe	hgnc	ensembl
11750218_x_at	TSPAN6	ENSG00000000003
11757467_x_at	TSPAN6	ENSG00000000003
11751564_a_at	TSPAN6	ENSG00000000003
11716696_s_at	TSPAN6	ENSG00000000003
11716693_a_at	TSPAN6	ENSG00000000003
11716694_at	TSPAN6	ENSG00000000003
11716695_a_at	TSPAN6	ENSG00000000003
11747526_a_at	TSPAN6	ENSG00000000003
11729535_at	TNMD	ENSG00000000005
11754523_a_at	DPM1	ENSG00000000419
11750837_a_at	SCYL3	ENSG00000000457
11756468_a_at	SCYL3	ENSG00000000457
11725837_a_at	C1orf112	ENSG00000000460
11747369_x_at	C1orf112	ENSG00000000460
11752665_a_at	C1orf112	ENSG00000000460
11761050_at	FGR	ENSG00000000938
11722480_a_at	FGR	ENSG00000000938
11743847_x_at	CFH	ENSG00000000971
11734578_a_at	CFH	ENSG00000000971
11760727_at	FUCA2	ENSG00000001036
11758787_at	FUCA2	ENSG00000001036
11717740_a_at	FUCA2	ENSG00000001036
11717741_x_at	FUCA2	ENSG00000001036
11729218_a_at	GCLC	ENSG00000001084
11750770_a_at	GCLC	ENSG00000001084
11754931_a_at	GCLC	ENSG00000001084
11759894_at	GCLC	ENSG00000001084
11725734_a_at	NFYA	ENSG00000001167
11725735_a_at	NFYA	ENSG00000001167
11749009_a_at	NFYA	ENSG00000001167
11725733_a_at	NFYA	ENSG00000001167
11758944_at	NFYA	ENSG00000001167
11752691_a_at	STPG1	ENSG00000001460
11728096_a_at	STPG1	ENSG00000001460
11725627_at	NIPAL3	ENSG00000001461
11761202_at	NIPAL3	ENSG00000001461
11721074_a_at	LAS1L	ENSG00000001497
11762896_a_at	LAS1L	ENSG00000001497
11736143_s_at	ENPP4	ENSG00000001561
11736144_at	ENPP4	ENSG00000001561
11736142_at	ENPP4	ENSG00000001561
11749014_a_at	SEMA3F	ENSG00000001617
11720907_x_at	SEMA3F	ENSG00000001617
11744948_x_at	SEMA3F	ENSG00000001617
11722757_at	CFTR	ENSG00000001626
11756260_s_at	ANKIB1	ENSG00000001629
11744084_s_at	ANKIB1	ENSG00000001629
11744083_at	ANKIB1	ENSG00000001629
11733738_a_at	KRIT1	ENSG00000001631
11740855_a_at	KRIT1	ENSG00000001631
11730380_a_at	KRIT1	ENSG00000001631
11730379_x_at	KRIT1	ENSG00000001631
11759109_x_at	KRIT1	ENSG00000001631
11759108_at	KRIT1	ENSG00000001631
11753545_x_at	RAD52	ENSG00000002016
11748832_a_at	RAD52	ENSG00000002016
11746884_a_at	RAD52	ENSG00000002016
11731758_at	RAD52	ENSG00000002016
11731760_a_at	RAD52	ENSG00000002016
11746886_x_at	RAD52	ENSG00000002016
11731761_x_at	RAD52	ENSG00000002016
11746885_s_at	RAD52	ENSG00000002016
11731759_s_at	RAD52	ENSG00000002016
11749968_a_at	RAD52	ENSG00000002016
11752970_a_at	RAD52	ENSG00000002016
11753544_a_at	RAD52	ENSG00000002016
11750088_x_at	BAD	ENSG00000002330
11727106_a_at	BAD	ENSG00000002330
11721243_a_at	LAP3	ENSG00000002549
11741449_s_at	CD99	ENSG00000002586
11754019_x_at	CD99	ENSG00000002586
11745958_a_at	CD99	ENSG00000002586
11733912_at	HS3ST1	ENSG00000002587
